# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 21:43:05 610513008 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137129 -0.000000000 -1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000997313492     2.372549  0.000000000000000 
     1     0.001000  0.000137129  0.000137128 -0.000185836 -0.999999983  0.000000000000000000 -30.000000518  20.002912247  30.000000518  0.000000997435338     2.372603 20.002912247203664 
     2     0.002000  0.000274256  0.000137124 -0.000371671 -0.999999931  0.000000000000000111 -30.000002072   3.460702648  30.000002072  0.000000997527295     2.372766  3.460702647590755 
     3     0.003000  0.000411380  0.000137119 -0.000557503 -0.999999845  0.000000000000000000 -30.000004662   3.966721223  30.000004662  0.000000997589359     2.373036  3.966721223420792 
     4     0.004000  0.000548500  0.000137112 -0.000743328 -0.999999724  0.000000000000000000 -30.000008288   4.529464423  30.000008288  0.000000997621532     2.373415  4.529464422773406 
     5     0.005000  0.000685612  0.000137103 -0.000929144 -0.999999568  0.000000000000000000 -30.000012950   5.152445162  30.000012950  0.000000997623825     2.373903  5.152445161855479 
     6     0.006000  0.000822715  0.000137091 -0.001114949 -0.999999378  0.000000000000000444 -30.000018647   5.838970743  30.000018647  0.000000997596255     2.374498  5.838970743246942 
     7     0.007000  0.000959806  0.000137078 -0.001300741 -0.999999154  0.000000000000000000 -30.000025379   6.592074512  30.000025379  0.000000997538849     2.375202  6.592074511550021 
     8     0.008000  0.001096884  0.000137063 -0.001486516 -0.999998895 -0.000000000000000444 -30.000033146   7.414446239  30.000033146  0.000000997451636     2.376014  7.414446238532837 
     9     0.009000  0.001233947  0.000137045 -0.001672272 -0.999998602  0.000000000000000000 -30.000041947   8.308362734  30.000041947  0.000000997334658     2.376935  8.308362734358678 
    10     0.010000  0.001370992  0.000137026 -0.001858007 -0.999998274  0.000000000000000000 -30.000051783   9.275620393  30.000051783  0.000000997187960     2.377963  9.275620392985017 
    11     0.011000  0.001508018  0.000137004 -0.002043718 -0.999997912 -0.000000000000000888 -30.000062652  10.317471319  30.000062652  0.000000997011596     2.379100 10.317471319229290 
    12     0.012000  0.001645022  0.000137188 -0.002229402 -0.999997515 -0.000000000000000888 -30.000074554  11.434564764  30.000074554  0.000000999828924     2.380345 11.434564764119150 
    13     0.013000  0.001782210  0.000137162 -0.002415340 -0.999997083 -0.000000000000000888 -30.000087508  12.812085856  30.000087508  0.000000999592323     2.381701 12.812085856045179 
    14     0.014000  0.001919373  0.000137135 -0.002601245 -0.999996617  0.000000000000000000 -30.000101498  13.938890397  30.000101498  0.000000999326080     2.383165 13.938890397456341 
    15     0.015000  0.002056507  0.000137105 -0.002787117 -0.999996116  0.000000000000000000 -30.000116521  15.285178168  30.000116521  0.000000999030278     2.384737 15.285178167618040 
    16     0.016000  0.002193612  0.000137073 -0.002972952 -0.999995581  0.000000000000000000 -30.000132578  16.702801521  30.000132578  0.000000998705006     2.386418 16.702801521213285 
    17     0.017000  0.002330686  0.000137039 -0.003158748 -0.999995011  0.000000000000000000 -30.000149666  18.188784952  30.000149666  0.000000998350360     2.388207 18.188784952425429 
    18     0.018000  0.002467725  0.000137004 -0.003344502 -0.999994407  0.000000000000000000 -30.000167787  19.739385164  30.000167787  0.000000997966444     2.390105 19.739385163511315 
    19     0.019000  0.002604729  0.000136966 -0.003530213 -0.999993769  0.000000000000000000 -30.000186938  21.350106459  30.000186938  0.000000997553367     2.392111 21.350106459165740 
    20     0.020000  0.002741694  0.000136926 -0.003715878 -0.999993096 -0.000000000000000888 -30.000207118  23.015729028  30.000207118  0.000000997111246     2.394225 23.015729028395242 
    21     0.021000  0.002878620  0.000137091 -0.003901493 -0.999992389  0.000000000000000000 -30.000228327  24.730349771  30.000228327  0.000000999660997     2.396448 24.730349771426408 
    22     0.022000  0.003015712  0.000137048 -0.004087338 -0.999991647  0.000000000000000000 -30.000250598  26.966057002  30.000250598  0.000000999158868     2.398783 26.966057002294708 
    23     0.023000  0.003152759  0.000137002 -0.004273130 -0.999990870  0.000000000000001776 -30.000273898  28.369748308  30.000273898  0.000000998627909     2.401226 28.369748308001096 
    24     0.024000  0.003289761  0.000136954 -0.004458865 -0.999990059  0.000000000000000000 -30.000298227  30.000298227  30.000298227  0.000000998068265     2.403777 30.000298226551557 
