# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 21:35:16 851721577 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137162 -0.000000000 -1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000997802514     2.372549  0.000000000000000 
     1     0.001000  0.000137162  0.000137161 -0.000185882 -0.999999983  0.000000000000000000 -30.000000518  20.008606682  30.000000518  0.000000997924413     2.372603 20.008606682028429 
     2     0.002000  0.000274323  0.000137158 -0.000371762 -0.999999931 -0.000000000000000111 -30.000002073   3.462576433  30.000002073  0.000000998016328     2.372766  3.462576433316301 
     3     0.003000  0.000411481  0.000137153 -0.000557639 -0.999999845  0.000000000000000222 -30.000004664   3.968993088  30.000004664  0.000000998078253     2.373037  3.968993088392957 
     4     0.004000  0.000548634  0.000137146 -0.000743510 -0.999999724  0.000000000000000000 -30.000008292   4.532191482  30.000008292  0.000000998110192     2.373416  4.532191481905704 
     5     0.005000  0.000685780  0.000137136 -0.000929372 -0.999999568  0.000000000000000000 -30.000012956   5.155688474  30.000012956  0.000000998112156     2.373903  5.155688473711346 
     6     0.006000  0.000822916  0.000137125 -0.001115223 -0.999999378  0.000000000000000000 -30.000018656   5.842794907  30.000018656  0.000000998084161     2.374499  5.842794906594999 
     7     0.007000  0.000960041  0.000137112 -0.001301059 -0.999999154  0.000000000000000444 -30.000025391   6.596547139  30.000025391  0.000000998026235     2.375204  6.596547139224882 
     8     0.008000  0.001097153  0.000137096 -0.001486880 -0.999998895 -0.000000000000000444 -30.000033162   7.419637300  30.000033162  0.000000997938408     2.376016  7.419637300013757 
     9     0.009000  0.001234249  0.000137079 -0.001672681 -0.999998601  0.000000000000000000 -30.000041968   8.314343799  30.000041968  0.000000997820720     2.376937  8.314343798719211 
    10     0.010000  0.001371327  0.000137059 -0.001858461 -0.999998273  0.000000000000000000 -30.000051808   9.282463751  30.000051808  0.000000997673218     2.377966  9.282463750648519 
    11     0.011000  0.001508386  0.000137037 -0.002044217 -0.999997911  0.000000000000000000 -30.000062683  10.325248991  30.000062683  0.000000997495957     2.379104 10.325248991055775 
    12     0.012000  0.001645424  0.000137014 -0.002229947 -0.999997514  0.000000000000000000 -30.000074590  11.443347452  30.000074590  0.000000997288996     2.380349 11.443347452451139 
    13     0.013000  0.001782438  0.000137178 -0.002415648 -0.999997082  0.000000000000000000 -30.000087531  12.636751488  30.000087531  0.000000999826092     2.381703 12.636751488331058 
    14     0.014000  0.001919616  0.000137151 -0.002601575 -0.999996616  0.000000000000000888 -30.000101523  14.095881232  30.000101523  0.000000999558813     2.383168 14.095881231639781 
    15     0.015000  0.002056767  0.000137121 -0.002787468 -0.999996115 -0.000000000000000888 -30.000116550  15.291227595  30.000116550  0.000000999261897     2.384740 15.291227595273265 
    16     0.016000  0.002193888  0.000137089 -0.002973325 -0.999995580 -0.000000000000000888 -30.000132611  16.709452116  30.000132611  0.000000998935434     2.386422 16.709452115699825 
    17     0.017000  0.002330977  0.000137055 -0.003159142 -0.999995010  0.000000000000000000 -30.000149704  18.196055549  30.000149704  0.000000998579521     2.388211 18.196055548687916 
    18     0.018000  0.002468032  0.000137019 -0.003344918 -0.999994406  0.000000000000000000 -30.000167829  19.747290093  30.000167829  0.000000998194260     2.390109 19.747290093305917 
    19     0.019000  0.002605051  0.000136981 -0.003530650 -0.999993767 -0.000000000000000888 -30.000186984  21.358655062  30.000186984  0.000000997779763     2.392116 21.358655062063885 
    20     0.020000  0.002742032  0.000136941 -0.003716336 -0.999993094  0.000000000000000000 -30.000207169  23.024925251  30.000207169  0.000000997336146     2.394231 23.024925250813677 
    21     0.021000  0.002878974  0.000137090 -0.003901972 -0.999992387  0.000000000000000000 -30.000228383  24.740191768  30.000228383  0.000000999634693     2.396454 24.740191767721104 
    22     0.022000  0.003016063  0.000137046 -0.004087815 -0.999991645  0.000000000000000000 -30.000250657  26.937071447  30.000250657  0.000000999131103     2.398789 26.937071447470426 
    23     0.023000  0.003153109  0.000137000 -0.004273604 -0.999990868  0.000000000000000000 -30.000273959  28.373438978  30.000273959  0.000000998598625     2.401232 28.373438978132992 
    24     0.024000  0.003290109  0.000136952 -0.004459336 -0.999990057  0.000000000000001776 -30.000298290  30.000298290  30.000298290  0.000000998037402     2.403784 30.000298289587644 
    25     0.025000  0.003427060  0.000136902 -0.004645009 -0.999989212  0.000000000000000000 -30.000323647  30.000323647  30.000323647  0.000000997447587     2.406444 30.000323646892404 
    26     0.026000  0.003563962  0.000137040 -0.004830621 -0.999988332  0.000000000000000000 -30.000350030  30.000350030  30.000350030  0.000000999598398     2.409213 30.000350029649951 
    27     0.027000  0.003701002  0.000136986 -0.005016427 -0.999987418 -0.000000000000001776 -30.000377475  30.000377475  30.000377475  0.000000998949158     2.412094 30.000377475239180 
    28     0.028000  0.003837988  0.000136930 -0.005202167 -0.999986469  0.000000000000000000 -30.000405946  30.000405946  30.000405946  0.000000998271658     2.415084 30.000405946313236 
    29     0.029000  0.003974917  0.000136872 -0.005387838 -0.999985485 -0.000000000000001776 -30.000435441  30.000435441  30.000435441  0.000000997566073     2.418182 30.000435441386170 
    30     0.030000  0.004111789  0.000137002 -0.005573437 -0.999984468  0.000000000000000000 -30.000465959  30.000465959  30.000465959  0.000000999599657     2.421389 30.000465958921726 
    31     0.031000  0.004248791  0.000136940 -0.005759221 -0.999983416  0.000000000000001776 -30.000497542  30.000497542  30.000497542  0.000000998835266     2.424709 30.000497541793234 
    32     0.032000  0.004385731  0.000136876 -0.005944929 -0.999982329 -0.000000000000001776 -30.000530147  30.000530147  30.000530147  0.000000998043202     2.428138 30.000530146733748 
